Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
5oX6CQ7QbiPgjaJKe4Wnn6Rr356DjjfNQE2mcrTnvki53qKgoZEzTaPvkHehunFMuwjTmNKDiXxTm1fqvJzyUZeH,1777021269,2026-04-24T09:01:09.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2039280,out,0.1741,9,SOL,1.0
5oX6CQ7QbiPgjaJKe4Wnn6Rr356DjjfNQE2mcrTnvki53qKgoZEzTaPvkHehunFMuwjTmNKDiXxTm1fqvJzyUZeH,1777021269,2026-04-24T09:01:09.000Z,BURN,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,,1741328194,out,0.6153,6,789YmjDSyvE4csrUWGcFk2RpHFdx85fP7FwzMsTXZDwP,1.0
338uBEmdDYGHTYEgqunvwU6GVfVSJeQZrvhJCkvY8qUra8Y1RBsY6aWK9BdysmncQPonYXYeBXhiA8fe8fxNkQe7,1777021257,2026-04-24T09:00:57.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,54Pz1e35z9uoFdnxtzjp7xZQoFiofqhdayQWBMN7dsuy,133907649618,out,4.8818,6,HiSo9tj1XwqHHWEBc3HKfKDDtEAu5s9Vk4Zy1Lx1NDNr,1.0
57aJpAsoVh3wmV9EKYRT3zyS5wo1mAmkJ687paBngbTTR4fgvVGekio4S93q3qzUG6e1A2NrTGcZ2XHNLuARafNg,1777021214,2026-04-24T09:00:14.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,Cw8CFyM9FkoMi7K7Crf6HNQqf4uEMzpKw6QNghXLvLkY,150000,out,0.01281,9,SOL,1.0
2zTUEQh1Zvy6tD24erfFvprTm9eMihc5LVkBjw2bLTb291AJqsoM9rz488sh1jZ3sJop4eDYdEndjNNQzTHP1n6w,1777021214,2026-04-24T09:00:14.000Z,TRANSFER,9doAMqomzwEiiQVtGZc1AzornztS8hxFB43ATSN3hxya,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,133907649618,in,5.1231,6,HiSo9tj1XwqHHWEBc3HKfKDDtEAu5s9Vk4Zy1Lx1NDNr,1.0
2zTUEQh1Zvy6tD24erfFvprTm9eMihc5LVkBjw2bLTb291AJqsoM9rz488sh1jZ3sJop4eDYdEndjNNQzTHP1n6w,1777021214,2026-04-24T09:00:14.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,9doAMqomzwEiiQVtGZc1AzornztS8hxFB43ATSN3hxya,60000000,out,5.1255,9,So11111111111111111111111111111111111111112,1.0
2zTUEQh1Zvy6tD24erfFvprTm9eMihc5LVkBjw2bLTb291AJqsoM9rz488sh1jZ3sJop4eDYdEndjNNQzTHP1n6w,1777021214,2026-04-24T09:00:14.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,cTG5oJLRujDcUnHhBfWYFnV2Fhkdj2bdsu8pvjxUbNY,60000000,out,5.1231,9,SOL,1.0
2zTUEQh1Zvy6tD24erfFvprTm9eMihc5LVkBjw2bLTb291AJqsoM9rz488sh1jZ3sJop4eDYdEndjNNQzTHP1n6w,1777021214,2026-04-24T09:00:14.000Z,CREATE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,cTG5oJLRujDcUnHhBfWYFnV2Fhkdj2bdsu8pvjxUbNY,2039280,out,0.1741,9,SOL,1.0
2gGpNbFYrFZ6HKgJBsC1VUTbraXjUeG5vQrWd999WtgGMdbdcdsuVG9ASwhGZ7wdgk1NNx7ezoF8BFgcAYzUgfzT,1777021211,2026-04-24T09:00:11.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,3AVi9Tg9Uo68tJfuvoKvqKNWKkC5wPdSSdeBnizKZ6jT,70000,out,0.005976,9,SOL,1.0
2BnBpZZ5RGCGRL9q7x4qi6kH2yjMMhxYcF8PFYz16yPhZDGYTRy9ZGSzjbA9ZrE8FM8P2ifDYi43jg9WfNTpncp3,1777021211,2026-04-24T09:00:11.000Z,CLOSE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,53092619,out,4.5323,9,SOL,1.0
