Signature,Block Time,Human Time,Action,From,To,Amount,Flow,Value,Decimals,Token Address, Multiplier
pB5o7iVvc7HXfLa67pLVt6i5hJAupfGjymzGCL7Lky8V4WWywD8qntYwaEdevjGHkrSbmSqr1Xj47H4bLawBiJS,1777011681,2026-04-24T06:21:21.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,fdqfb8ZFfiGUnbCx6WjWKZ9ZePbzR58vKwTCGi75jjq,23241954311,out,1.8467,6,DtjYkwihku4sArAJFWHv19BMDQ6xT61Sa8V9WqhWGtGB,1.0
pB5o7iVvc7HXfLa67pLVt6i5hJAupfGjymzGCL7Lky8V4WWywD8qntYwaEdevjGHkrSbmSqr1Xj47H4bLawBiJS,1777011681,2026-04-24T06:21:21.000Z,TRANSFER,fdqfb8ZFfiGUnbCx6WjWKZ9ZePbzR58vKwTCGi75jjq,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,21567628,in,1.8474,9,So11111111111111111111111111111111111111112,1.0
2zD4ufAiKzGLnoQpDfZvc4EXE6GkkdAHwfUvirEcnRvYLzQ54u98rNffBtppZ8P38e99cVyXTYGbm3vUyf2U2Bai,1777011679,2026-04-24T06:21:19.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,ADuUkR4vqLUMWXxW9gh6D6L8pMSawimctcNZ5pGwDcEt,150000,out,0.01285,9,SOL,1.0
GmL1z7WdNjrjEctcTVsHfAJnGuP7WD8sKU8uWSNWpW6eitB6EbW4hwiXQ9WRFv6SdP1rAB4VqUqTUC5oigKjGCR,1777011679,2026-04-24T06:21:19.000Z,TRANSFER,fdqfb8ZFfiGUnbCx6WjWKZ9ZePbzR58vKwTCGi75jjq,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,32862667540,in,2.6172,6,DtjYkwihku4sArAJFWHv19BMDQ6xT61Sa8V9WqhWGtGB,1.0
GmL1z7WdNjrjEctcTVsHfAJnGuP7WD8sKU8uWSNWpW6eitB6EbW4hwiXQ9WRFv6SdP1rAB4VqUqTUC5oigKjGCR,1777011679,2026-04-24T06:21:19.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,fdqfb8ZFfiGUnbCx6WjWKZ9ZePbzR58vKwTCGi75jjq,30000000,out,2.5705,9,So11111111111111111111111111111111111111112,1.0
GmL1z7WdNjrjEctcTVsHfAJnGuP7WD8sKU8uWSNWpW6eitB6EbW4hwiXQ9WRFv6SdP1rAB4VqUqTUC5oigKjGCR,1777011679,2026-04-24T06:21:19.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,cTG5oJLRujDcUnHhBfWYFnV2Fhkdj2bdsu8pvjxUbNY,30000000,out,2.5705,9,SOL,1.0
GmL1z7WdNjrjEctcTVsHfAJnGuP7WD8sKU8uWSNWpW6eitB6EbW4hwiXQ9WRFv6SdP1rAB4VqUqTUC5oigKjGCR,1777011679,2026-04-24T06:21:19.000Z,CREATE ACCOUNT,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,Fo7U8Ctj3D4Vv1X6VSCWJUNsfTyqEQdFvd6DsgfiDRND,2039280,out,0.1747,9,SOL,1.0
32g3QJ9aLuemT5DnqzqmQZ9qDWVVBX3Buwj9nyT9sspFbsqbz5U1h5nVQhNDYkpcEm9XqKCUNQmMiewXnPE4JM6P,1777011511,2026-04-24T06:18:31.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,Cw8CFyM9FkoMi7K7Crf6HNQqf4uEMzpKw6QNghXLvLkY,150000,out,0.01286,9,SOL,1.0
HbqaxVYct3rhdwD5qG4Q4MJ5C2FCZVcxqWk3khLMJXqB8NVjcCAQrDcGrmfZyYD3Hw1rJmdLJU9LT5JcUzySs49,1777011511,2026-04-24T06:18:31.000Z,TRANSFER,2VEkTBwNarB5yjQpnVEsKWPVbVowfm4EyMdPXBbKxj7k,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,17571045246,in,2.5718,6,76YDpEn4AEnk7NQGffJWZuALZxbckeqwShzzEEstuD7h,1.0
HbqaxVYct3rhdwD5qG4Q4MJ5C2FCZVcxqWk3khLMJXqB8NVjcCAQrDcGrmfZyYD3Hw1rJmdLJU9LT5JcUzySs49,1777011511,2026-04-24T06:18:31.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,2VEkTBwNarB5yjQpnVEsKWPVbVowfm4EyMdPXBbKxj7k,30000000,out,2.5704,9,So11111111111111111111111111111111111111112,1.0
HbqaxVYct3rhdwD5qG4Q4MJ5C2FCZVcxqWk3khLMJXqB8NVjcCAQrDcGrmfZyYD3Hw1rJmdLJU9LT5JcUzySs49,1777011511,2026-04-24T06:18:31.000Z,TRANSFER,BFBd3NbuqPCzYwJ5Hh9qW9meLwgzPW2T6V3aZ2qxYFWD,cTG5oJLRujDcUnHhBfWYFnV2Fhkdj2bdsu8pvjxUbNY,30000000,out,2.5723,9,SOL,1.0
